Players,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,FG%,3P%,2P%,eFG%,FT%,Height,Weight
A.J. Hammons,0.05,0.21,0.13,0.04,0,0.07,0.16,0.41,0.5,0.38,0.46,0.45,198,99
A.J. Price,0.02,0.09,0.06,0.23,0.01,0,0.11,0.36,0.24,0.44,0.41,0.63,213,124
Aaron Brooks,0.02,0.06,0.04,0.24,0.01,0.01,0.15,0.4,0.35,0.44,0.48,0.84,183,73
Aaron Gordon,0.07,0.18,0.12,0.09,0.01,0.02,0.1,0.46,0.29,0.52,0.5,0.7,206,99
Aaron Gray,0.14,0.23,0.19,0.1,0.01,0.02,0.23,0.51,0,0.51,0.51,0.56,213,122
Aaron Harrison,0.02,0.16,0.09,0.13,0.02,0,0.07,0.13,0.15,0.11,0.17,0.46,198,95
Aaron Williams,0.06,0.18,0.12,0.05,0.02,0.04,0.17,0.49,,0.49,0.49,0.78,206,99
Acie Law,0.02,0.07,0.04,0.18,0.02,0,0.17,0.41,0.21,0.46,0.44,0.76,190,88
Adam Morrison,0.04,0.12,0.08,0.1,0.01,0,0.13,0.36,0.29,0.39,0.41,0.66,203,92
Adonal Foyle,0.11,0.2,0.16,0.02,0,0.06,0.17,0.58,,0.58,0.58,0.49,208,113
Adonis Thomas,0,0.08,0.04,0.14,0,0,0.08,0.45,0.23,0.57,0.5,1,201,90
Adreian Payne,0.07,0.19,0.13,0.06,0.02,0.02,0.12,0.38,0.14,0.42,0.39,0.64,208,107
Adrian Griffin,0.1,0.13,0.11,0.12,0.03,0.01,0.21,0.39,,0.39,0.39,0.66,196,98
Al Harrington,0.05,0.17,0.11,0.09,0.02,0,0.11,0.41,0.35,0.46,0.49,0.73,206,104
Al Horford,0.08,0.21,0.15,0.15,0.01,0.03,0.12,0.53,0.34,0.54,0.54,0.75,208,111
Al Jefferson,0.08,0.25,0.16,0.11,0.01,0.03,0.07,0.5,0.12,0.5,0.5,0.72,208,131
Al Thornton,0.05,0.12,0.09,0.07,0.01,0.01,0.12,0.47,0.25,0.48,0.48,0.75,203,99
Alan Anderson,0.02,0.1,0.06,0.08,0.01,0,0.09,0.39,0.34,0.44,0.48,0.8,198,99
Alan Williams,0.18,0.35,0.26,0.08,0.02,0.05,0.14,0.47,0,0.47,0.47,0.63,198,90
Alando Tucker,0.08,0.06,0.07,0.05,0,0,0.08,0.42,0.22,0.46,0.44,0.79,203,86
Alec Burks,0.04,0.12,0.08,0.13,0.01,0.01,0.12,0.42,0.36,0.44,0.46,0.76,198,97
Alex Abrines,0.02,0.07,0.05,0.06,0.02,0.01,0.08,0.39,0.38,0.43,0.53,0.9,198,86
Alex Acker,0.03,0.1,0.07,0.1,0.03,0.02,0.06,0.39,0.26,0.46,0.42,0.5,196,83
Alex Kirk,0.08,0,0.04,0.1,0,0,0,0.25,,0.25,0.25,1,213,111
Alex Len,0.11,0.23,0.17,0.04,0.01,0.04,0.17,0.46,0.24,0.47,0.46,0.7,216,117
Alex Poythress,0.08,0.13,0.1,0.05,0.01,0.01,0.05,0.46,0.32,0.54,0.52,0.8,201,107
Alex Stepheson,0.23,0.13,0.18,0.03,0.01,0.08,0,0.55,,0.55,0.55,0.24,208,122
Alexander Johnson,0.07,0.14,0.1,0.04,0.01,0.02,0.21,0.49,,0.49,0.49,0.69,206,108
Alexey Shved,0.03,0.1,0.06,0.22,0.02,0.01,0.13,0.37,0.32,0.41,0.44,0.79,198,86
Alexis Ajinca,0.08,0.21,0.14,0.05,0.02,0.04,0.13,0.47,0.16,0.48,0.48,0.67,218,112
Al-Farouq Aminu,0.07,0.2,0.13,0.08,0.02,0.02,0.15,0.43,0.29,0.46,0.47,0.73,206,99
Allen Crabbe,0.01,0.1,0.05,0.08,0.01,0.01,0.08,0.43,0.4,0.45,0.52,0.8,198,95
Allen Iverson*,0.02,0.07,0.05,0.24,0.02,0,0.14,0.45,0.41,0.47,0.47,0.74,183,74
Alonzo Gee,0.06,0.11,0.09,0.06,0.02,0.01,0.18,0.42,0.31,0.45,0.45,0.69,198,102
Alonzo Mourning*,0.1,0.19,0.14,0.03,0.01,0.09,0.16,0.55,,0.55,0.55,0.59,208,108
Amar'e Stoudemire,0.09,0.19,0.14,0.07,0.01,0.03,0.12,0.55,0.18,0.55,0.55,0.76,208,111
Amir Johnson,0.11,0.19,0.15,0.08,0.01,0.04,0.16,0.58,0.27,0.59,0.59,0.67,206,108
Anderson Varejao,0.11,0.23,0.17,0.1,0.02,0.02,0.14,0.48,0.02,0.49,0.48,0.67,208,123
Andray Blatche,0.09,0.19,0.14,0.11,0.02,0.03,0.14,0.46,0.24,0.47,0.47,0.72,211,106
Andre Barrett,0,0.05,0.02,0.44,0,0,0.15,0.4,0.33,0.5,0.5,0.5,178,78
Andre Brown,0.18,0.18,0.18,0.04,0.01,0.01,0.26,0.32,,0.32,0.32,0.72,206,111
Andre Dawkins,0,0.11,0.06,0.07,0,0,0.14,0.17,0.17,,0.25,,196,97
Andre Drummond,0.16,0.31,0.23,0.04,0.02,0.04,0.11,0.56,0.22,0.56,0.56,0.38,211,126
